Feature,Risk,Classification,Reason
Rating,DIRECT LEAKAGE,Must Be Removed,"Churn_Risk is deterministically derived from Rating (Rating in {1,2} -> Risk=1). Including Rating would let the model trivially reconstruct the label."
Rating_Imputed_Flag,INDIRECT / CONTEXTUAL,Allowed for Training (with caution),"Does not reveal the rating VALUE itself, only whether it was imputed. Legitimate signal (imputed rows came from customers who never rated but did review), but monitor for the model learning 'imputed==True' as a shortcut correlated with the sentiment-based imputation rule rather than genuine churn behavior."
Sentiment_Score,INDIRECT LEAKAGE (for imputed rows only),Must Be Removed,"For the ~10% of rows where Rating was imputed FROM Sentiment_Score, this feature was literally used to construct Rating -> Churn_Risk for those rows, creating circular/leaked signal. Removed for all rows for consistency and simplicity."
Sentiment_Label,INDIRECT LEAKAGE (for imputed rows only),Must Be Removed,Directly derived from Sentiment_Score; same leakage risk as above.
Review_Text / Clean_Review_Text (raw text),LOW / INDIRECT,"Allowed for Training (as a text feature, not Sentiment_Score)","The raw text itself was not used to build the label except through the Sentiment_Score intermediary already flagged above. A NEW model (e.g., a fresh TF-IDF or transformer encoder) trained independently on this text is legitimate signal, not leakage, since it does not reuse the VADER score that built the label."
"Review Length (Character_Count, Word_Count, etc.)",NONE,Allowed for Training,"Purely structural text metrics, computed independently of sentiment/rating."
Customer_Support_Contacts,NONE,Allowed for Training,"Behavioral feature, collected independently of Rating/Sentiment."
Days_Since_Last_Purchase,NONE,Allowed for Training,"Behavioral feature, unrelated to how the target was constructed."
Ticket_Date / First_Response_Date / Resolve_Date (raw),NONE,"Allowed for Training (raw dates dropped in favor of derived features, Step 10)","Raw timestamps aren't directly usable by most models, but carry no leakage risk; engineered date features (Step 10) are the actual training inputs."
"All other original/behavioral columns (Age, Gender, Country, Purchase_Count, Total_Spent, etc.)",NONE,Allowed for Training,None of these columns were used anywhere in the Rating -> Churn_Risk construction.
