Feature,Description,Source,Type,Dtype,Method,Business_Meaning,ML_Value
Churn_Risk,"Binary ML target: 1 if Rating in {1,2}, else 0.",Rating,Target,int,Rule-based derivation,Customer is at risk of churn based on low satisfaction.,Primary prediction target for Part 2.
Rating_Imputed_Flag,"1 if Rating was imputed from sentiment, 0 if original.",Rating (missingness),Flag,int,Missingness indicator,Distinguishes customers who rated explicitly vs. inferred satisfaction.,Useful as a low-risk auxiliary feature; monitor for shortcut learning.
Sentiment_Score,"VADER compound sentiment score, -1 to 1.",Clean_Review_Text,NLP,float,VADER lexicon scoring,Quantifies review tone.,EXCLUDED from training — target leakage (Step 9).
Sentiment_Label,Negative/Neutral/Positive from Sentiment_Score.,Sentiment_Score,NLP,category,Threshold rule,Human-readable sentiment category.,EXCLUDED from training — target leakage (Step 9).
Ticket_Year,Calendar year of ticket creation.,Ticket_Date / First_Response_Date / Resolve_Date,Date,int,Datetime component extraction / timedelta,Long-term trend context.,Low standalone value; useful for trend analysis.
Ticket_Month,Calendar month of ticket creation.,Ticket_Date / First_Response_Date / Resolve_Date,Date,int,Datetime component extraction / timedelta,Seasonality context.,Captures monthly demand/seasonality patterns.
Ticket_Day,Day of month of ticket creation.,Ticket_Date / First_Response_Date / Resolve_Date,Date,int,Datetime component extraction / timedelta,Fine-grained temporal detail.,Low standalone predictive value.
Ticket_Weekday,Day-of-week name of ticket creation.,Ticket_Date / First_Response_Date / Resolve_Date,Date,category,Datetime component extraction / timedelta,Weekday support-volume patterns.,May reveal staffing/SLA gaps by weekday.
Ticket_Quarter,Calendar quarter of ticket creation.,Ticket_Date / First_Response_Date / Resolve_Date,Date,int,Datetime component extraction / timedelta,Quarterly business-cycle context.,Useful for quarterly trend reporting.
Ticket_Week_Number,ISO week number of ticket creation.,Ticket_Date / First_Response_Date / Resolve_Date,Date,int,Datetime component extraction / timedelta,Fine-grained seasonality.,Supports weekly operational analysis.
Is_Weekend,1 if ticket opened on a weekend.,Ticket_Date / First_Response_Date / Resolve_Date,Date,Int64,Datetime component extraction / timedelta,Weekend support-load indicator.,May correlate with slower response due to staffing.
Ticket_Age_Days,Days between ticket creation and data extraction.,Ticket_Date / First_Response_Date / Resolve_Date,Date,float,Datetime component extraction / timedelta,How long ago the interaction occurred.,Recency-of-interaction signal.
Response_Time_Hours,Hours between ticket creation and first response.,Ticket_Date / First_Response_Date / Resolve_Date,Date,float,Datetime component extraction / timedelta,First-response speed.,Strong candidate churn predictor (support SLA).
Resolution_Time_Hours,Hours between first response and resolution.,Ticket_Date / First_Response_Date / Resolve_Date,Date,float,Datetime component extraction / timedelta,Resolution speed.,Strong candidate churn predictor.
